peg_x,peg_y,success,file,demo,radial,depth,upright
0.24697,-0.00070,1,gen_mimicgen.hdf5,demo_0,0.00102,0.03806,1.0000
0.17728,0.04426,1,gen_mimicgen.hdf5,demo_1,0.00068,0.03806,1.0000
0.24242,0.07086,1,gen_mimicgen.hdf5,demo_2,0.00099,0.03806,1.0000
0.16207,-0.08541,1,gen_mimicgen.hdf5,demo_3,0.00123,0.03806,1.0000
0.25954,-0.10926,1,gen_mimicgen.hdf5,demo_4,0.00134,0.03806,1.0000
0.15796,-0.11786,1,gen_mimicgen.hdf5,demo_5,0.00099,0.03806,1.0000
0.10403,0.00218,1,gen_mimicgen.hdf5,demo_6,0.00098,0.03806,1.0000
0.16633,0.10822,1,gen_mimicgen.hdf5,demo_7,0.00132,0.03806,1.0000
0.19529,-0.07701,1,gen_mimicgen.hdf5,demo_8,0.00136,0.03806,1.0000
0.18898,-0.08040,0,gen_mimicgen_failed.hdf5,demo_0,0.09567,0.00000,0.0000
0.08779,-0.06758,0,gen_mimicgen_failed.hdf5,demo_1,0.08764,0.00000,-0.8334
0.18856,-0.07654,0,gen_mimicgen_failed.hdf5,demo_10,0.07181,0.00000,-0.9990
0.23578,0.08411,0,gen_mimicgen_failed.hdf5,demo_100,0.06173,0.00000,-0.0486
0.17009,0.01741,0,gen_mimicgen_failed.hdf5,demo_101,0.06715,0.00000,-1.0000
0.23564,0.04275,0,gen_mimicgen_failed.hdf5,demo_102,0.15656,0.00000,0.9998
0.20211,0.00312,0,gen_mimicgen_failed.hdf5,demo_103,0.15092,0.00000,1.0000
0.17585,0.00045,0,gen_mimicgen_failed.hdf5,demo_104,0.14213,0.00000,0.9990
0.22572,0.04249,0,gen_mimicgen_failed.hdf5,demo_105,0.06634,0.00000,-0.9992
0.12788,0.00350,0,gen_mimicgen_failed.hdf5,demo_106,0.10828,0.00000,0.9975
0.16552,-0.05078,0,gen_mimicgen_failed.hdf5,demo_107,0.17374,0.00000,0.9985
0.20726,-0.10510,0,gen_mimicgen_failed.hdf5,demo_108,0.07367,0.00000,-0.9900
0.11708,-0.08120,0,gen_mimicgen_failed.hdf5,demo_109,0.06425,0.00000,-0.9998
0.09066,-0.10543,0,gen_mimicgen_failed.hdf5,demo_11,0.07100,0.00000,-0.9349
0.12521,0.00431,0,gen_mimicgen_failed.hdf5,demo_110,0.10139,0.00000,0.9998
0.20058,0.06612,0,gen_mimicgen_failed.hdf5,demo_111,0.11311,0.00000,0.9997
0.24646,-0.03451,0,gen_mimicgen_failed.hdf5,demo_112,0.21362,0.00000,0.9997
0.16765,0.09476,0,gen_mimicgen_failed.hdf5,demo_113,0.07479,0.00000,0.9999
0.08620,-0.02334,0,gen_mimicgen_failed.hdf5,demo_114,0.06295,0.00000,-0.0447
0.09546,-0.09988,0,gen_mimicgen_failed.hdf5,demo_115,0.06172,0.00000,0.9995
0.25338,-0.09707,0,gen_mimicgen_failed.hdf5,demo_116,0.25651,0.00000,0.9999
0.10301,-0.08301,0,gen_mimicgen_failed.hdf5,demo_117,0.18976,0.00000,1.0000
0.21078,0.04743,0,gen_mimicgen_failed.hdf5,demo_118,0.13193,0.00000,0.9997
0.18053,0.00734,0,gen_mimicgen_failed.hdf5,demo_119,0.09372,0.00000,0.0000
0.21394,-0.09348,0,gen_mimicgen_failed.hdf5,demo_12,0.10139,0.00000,0.3519
0.22708,0.00659,0,gen_mimicgen_failed.hdf5,demo_120,0.17133,0.00000,0.9815
0.23587,0.04827,0,gen_mimicgen_failed.hdf5,demo_121,0.02212,0.00000,0.9991
0.20639,-0.08528,0,gen_mimicgen_failed.hdf5,demo_122,0.06386,0.00000,-0.0439
0.22371,-0.08085,0,gen_mimicgen_failed.hdf5,demo_123,0.22447,0.00000,1.0000
0.23401,-0.10772,0,gen_mimicgen_failed.hdf5,demo_124,0.00860,0.00766,0.9456
0.23396,-0.05703,0,gen_mimicgen_failed.hdf5,demo_125,0.00983,0.00613,0.9546
0.21477,-0.06615,0,gen_mimicgen_failed.hdf5,demo_126,0.02028,0.00000,-0.0218
0.18062,-0.09971,0,gen_mimicgen_failed.hdf5,demo_127,0.07030,0.00000,-0.2622
0.19712,-0.11911,0,gen_mimicgen_failed.hdf5,demo_128,0.06855,0.00000,-0.9844
0.12544,-0.07511,0,gen_mimicgen_failed.hdf5,demo_129,0.01378,0.00013,0.9951
0.09319,-0.11513,0,gen_mimicgen_failed.hdf5,demo_13,0.01138,0.01486,0.7049
0.10976,-0.10715,0,gen_mimicgen_failed.hdf5,demo_130,0.05942,0.00000,0.9529
0.23584,0.01913,0,gen_mimicgen_failed.hdf5,demo_131,0.01477,0.00619,0.8875
0.21675,0.06031,0,gen_mimicgen_failed.hdf5,demo_132,0.01131,0.00572,0.7440
0.17332,0.00311,0,gen_mimicgen_failed.hdf5,demo_133,0.16853,0.00000,-0.0000
0.22875,-0.00998,0,gen_mimicgen_failed.hdf5,demo_134,0.01988,0.00000,0.9984
0.14105,-0.03675,0,gen_mimicgen_failed.hdf5,demo_135,0.16835,0.00000,0.3783
0.17473,0.05464,0,gen_mimicgen_failed.hdf5,demo_136,0.09175,0.00000,0.9973
0.25833,-0.00766,0,gen_mimicgen_failed.hdf5,demo_137,0.20669,0.00000,0.5389
0.13583,-0.10386,0,gen_mimicgen_failed.hdf5,demo_138,0.18606,0.00000,0.8156
0.23015,-0.01933,0,gen_mimicgen_failed.hdf5,demo_139,0.21636,0.00000,-0.0294
0.25865,-0.10148,0,gen_mimicgen_failed.hdf5,demo_14,0.06636,0.00000,-1.0000
0.25656,0.03377,0,gen_mimicgen_failed.hdf5,demo_140,0.18516,0.00000,1.0000
0.09938,-0.01241,0,gen_mimicgen_failed.hdf5,demo_141,0.07501,0.00000,-0.9237
0.17896,-0.00505,0,gen_mimicgen_failed.hdf5,demo_142,0.13926,0.00000,0.9977
0.24748,-0.08646,0,gen_mimicgen_failed.hdf5,demo_143,0.09701,0.00000,-0.2886
0.15375,-0.11126,0,gen_mimicgen_failed.hdf5,demo_144,0.01055,0.01584,1.0000
0.23528,-0.05840,0,gen_mimicgen_failed.hdf5,demo_145,0.01385,0.00511,0.9101
0.12160,-0.06964,0,gen_mimicgen_failed.hdf5,demo_146,0.01038,0.00564,0.9665
0.24229,-0.08690,0,gen_mimicgen_failed.hdf5,demo_147,0.09300,0.00000,0.9998
0.24362,-0.07054,0,gen_mimicgen_failed.hdf5,demo_148,0.07094,0.00000,-0.9669
0.12559,-0.01056,0,gen_mimicgen_failed.hdf5,demo_149,0.01526,-0.00004,0.9953
0.23929,-0.08846,0,gen_mimicgen_failed.hdf5,demo_15,0.06814,0.00000,-0.9786
0.08781,-0.03887,0,gen_mimicgen_failed.hdf5,demo_150,0.01579,-0.00004,0.9978
0.12304,-0.10237,0,gen_mimicgen_failed.hdf5,demo_151,0.07166,0.00000,-0.9971
0.18254,-0.04265,0,gen_mimicgen_failed.hdf5,demo_152,0.16709,0.00000,0.9997
0.13195,0.03100,0,gen_mimicgen_failed.hdf5,demo_153,0.01907,0.00000,0.9993
0.23626,-0.01985,0,gen_mimicgen_failed.hdf5,demo_154,0.19119,0.00000,0.9862
0.14643,0.01421,0,gen_mimicgen_failed.hdf5,demo_155,0.10064,0.00000,0.9996
0.10153,-0.03995,0,gen_mimicgen_failed.hdf5,demo_156,0.13667,0.00000,0.9979
0.23917,-0.08916,0,gen_mimicgen_failed.hdf5,demo_157,0.24404,0.00000,0.9999
0.13733,0.03427,0,gen_mimicgen_failed.hdf5,demo_158,0.07248,0.00000,0.6724
0.23079,0.01478,0,gen_mimicgen_failed.hdf5,demo_159,0.16926,0.00000,0.9809
0.12287,-0.07618,0,gen_mimicgen_failed.hdf5,demo_16,0.01616,0.00000,0.8195
0.21069,0.09035,0,gen_mimicgen_failed.hdf5,demo_160,0.12041,0.00000,0.9998
0.18399,-0.01425,0,gen_mimicgen_failed.hdf5,demo_161,0.15650,0.00000,0.9995
0.14317,-0.10843,0,gen_mimicgen_failed.hdf5,demo_162,0.22357,0.00000,1.0000
0.22680,-0.10132,0,gen_mimicgen_failed.hdf5,demo_163,0.06316,0.00000,-0.9919
0.12584,-0.08246,0,gen_mimicgen_failed.hdf5,demo_164,0.01072,0.01648,0.5184
0.23762,-0.08637,0,gen_mimicgen_failed.hdf5,demo_165,0.09410,0.00000,0.0000
0.23436,-0.07900,0,gen_mimicgen_failed.hdf5,demo_166,0.01471,-0.00004,0.9975
0.21460,-0.11283,0,gen_mimicgen_failed.hdf5,demo_167,0.07054,0.00000,-0.9975
0.21814,-0.08646,0,gen_mimicgen_failed.hdf5,demo_168,0.11812,0.00000,0.0000
0.22925,-0.10686,0,gen_mimicgen_failed.hdf5,demo_169,0.01960,0.00000,-0.0005
0.22334,-0.01008,0,gen_mimicgen_failed.hdf5,demo_17,0.07969,0.00000,-0.9470
0.08210,-0.03579,0,gen_mimicgen_failed.hdf5,demo_170,0.07227,0.00000,-0.9574
0.23301,-0.02657,0,gen_mimicgen_failed.hdf5,demo_171,0.06620,0.00000,0.0000
0.20298,0.04171,0,gen_mimicgen_failed.hdf5,demo_172,0.01050,0.01611,0.6544
0.25578,0.03823,0,gen_mimicgen_failed.hdf5,demo_173,0.19764,0.00000,0.9961
0.15003,-0.03195,0,gen_mimicgen_failed.hdf5,demo_174,0.14395,0.00000,0.9984
0.10515,0.01517,0,gen_mimicgen_failed.hdf5,demo_175,0.01103,0.00494,0.8840
0.16255,-0.08411,0,gen_mimicgen_failed.hdf5,demo_176,0.09278,0.00000,0.0000
0.17861,-0.09017,0,gen_mimicgen_failed.hdf5,demo_177,0.20438,0.00000,0.8506
0.25391,0.09262,0,gen_mimicgen_failed.hdf5,demo_178,0.16846,0.00000,0.9947
0.21580,0.01433,0,gen_mimicgen_failed.hdf5,demo_179,0.14868,0.00000,0.9910
0.20007,-0.05531,0,gen_mimicgen_failed.hdf5,demo_18,0.00874,0.00745,0.9936
0.23621,0.04558,0,gen_mimicgen_failed.hdf5,demo_180,0.01111,0.01499,0.7109
0.20218,-0.01492,0,gen_mimicgen_failed.hdf5,demo_181,0.01665,0.00000,0.7840
0.20289,-0.03521,0,gen_mimicgen_failed.hdf5,demo_182,0.07064,0.00000,0.0000
0.20147,0.00505,0,gen_mimicgen_failed.hdf5,demo_183,0.06352,0.00000,-0.8959
0.24520,0.00625,0,gen_mimicgen_failed.hdf5,demo_184,0.01044,0.01635,1.0000
0.12409,-0.00365,0,gen_mimicgen_failed.hdf5,demo_185,0.09470,0.00000,-0.0000
0.19384,-0.11661,0,gen_mimicgen_failed.hdf5,demo_186,0.01055,0.01656,0.5370
0.08315,-0.06633,0,gen_mimicgen_failed.hdf5,demo_187,0.01052,0.01639,0.9999
0.24280,0.03981,0,gen_mimicgen_failed.hdf5,demo_188,0.06615,0.00000,0.6801
0.21495,0.08495,0,gen_mimicgen_failed.hdf5,demo_189,0.06534,0.00000,-0.9498
