peg_x,peg_y,success,file,demo,radial,depth,upright
0.22371,-0.08085,1,gen_skillgen.hdf5,demo_0,0.00138,0.03806,1.0000
0.19684,0.10442,1,gen_skillgen.hdf5,demo_1,0.00081,0.03806,1.0000
0.10361,-0.08704,1,gen_skillgen.hdf5,demo_10,0.00129,0.03806,1.0000
0.19499,0.06350,1,gen_skillgen.hdf5,demo_11,0.00128,0.03806,1.0000
0.21849,-0.08632,1,gen_skillgen.hdf5,demo_12,0.00104,0.03806,1.0000
0.19662,0.11338,1,gen_skillgen.hdf5,demo_13,0.00084,0.03806,1.0000
0.24965,-0.05068,1,gen_skillgen.hdf5,demo_14,0.00129,0.03806,1.0000
0.19203,-0.11996,1,gen_skillgen.hdf5,demo_15,0.00095,0.03806,1.0000
0.08971,0.01320,1,gen_skillgen.hdf5,demo_16,0.00099,0.03806,1.0000
0.24258,0.10369,1,gen_skillgen.hdf5,demo_17,0.00125,0.03806,1.0000
0.23080,0.11804,1,gen_skillgen.hdf5,demo_18,0.00132,0.03806,1.0000
0.15902,-0.09446,1,gen_skillgen.hdf5,demo_19,0.00129,0.03806,1.0000
0.22350,0.10678,1,gen_skillgen.hdf5,demo_2,0.00139,0.03806,1.0000
0.11634,0.01335,1,gen_skillgen.hdf5,demo_3,0.00113,0.03806,1.0000
0.08649,-0.02440,1,gen_skillgen.hdf5,demo_4,0.00123,0.03806,1.0000
0.25121,0.00039,1,gen_skillgen.hdf5,demo_5,0.00096,0.03806,1.0000
0.11910,0.01123,1,gen_skillgen.hdf5,demo_6,0.00094,0.03806,1.0000
0.24835,0.04778,1,gen_skillgen.hdf5,demo_7,0.00139,0.03806,1.0000
0.20495,0.00285,1,gen_skillgen.hdf5,demo_8,0.00137,0.03806,1.0000
0.24103,0.00846,1,gen_skillgen.hdf5,demo_9,0.00098,0.03806,1.0000
0.14568,0.01166,0,gen_skillgen_failed.hdf5,demo_0,0.01064,0.01561,0.6992
0.22708,0.00659,0,gen_skillgen_failed.hdf5,demo_1,0.16412,0.00000,0.9997
0.21637,0.08084,0,gen_skillgen_failed.hdf5,demo_10,0.01490,-0.00004,1.0000
0.23727,0.01862,0,gen_skillgen_failed.hdf5,demo_100,0.06812,0.00000,-0.0000
0.23459,-0.08396,0,gen_skillgen_failed.hdf5,demo_101,0.00681,0.00986,0.9860
0.18427,0.07411,0,gen_skillgen_failed.hdf5,demo_102,0.01487,0.00632,0.8945
0.22276,-0.09975,0,gen_skillgen_failed.hdf5,demo_103,0.24432,0.00000,0.9980
0.10003,0.01574,0,gen_skillgen_failed.hdf5,demo_104,0.00780,0.00389,0.8774
0.18292,-0.03006,0,gen_skillgen_failed.hdf5,demo_105,0.06531,0.00000,-0.9441
0.16846,0.03536,0,gen_skillgen_failed.hdf5,demo_106,0.10162,0.00000,0.9999
0.18600,0.03708,0,gen_skillgen_failed.hdf5,demo_107,0.12232,0.00000,0.9999
0.21618,0.08656,0,gen_skillgen_failed.hdf5,demo_108,0.12356,0.00000,0.9994
0.17230,-0.01535,0,gen_skillgen_failed.hdf5,demo_109,0.13689,0.00000,0.9971
0.09849,0.02204,0,gen_skillgen_failed.hdf5,demo_11,0.08511,0.00000,0.9991
0.25723,0.00956,0,gen_skillgen_failed.hdf5,demo_110,0.09303,0.00000,-0.0000
0.08485,-0.03428,0,gen_skillgen_failed.hdf5,demo_111,0.01171,0.01099,0.8369
0.18684,-0.01319,0,gen_skillgen_failed.hdf5,demo_112,0.01431,0.00691,0.6971
0.15956,-0.06458,0,gen_skillgen_failed.hdf5,demo_113,0.07058,0.00000,-0.9329
0.21631,-0.05878,0,gen_skillgen_failed.hdf5,demo_114,0.02140,0.00000,0.1918
0.14909,0.02139,0,gen_skillgen_failed.hdf5,demo_115,0.00692,0.00866,0.9656
0.10556,-0.09160,0,gen_skillgen_failed.hdf5,demo_116,0.09304,0.00000,1.0000
