peg_x,peg_y,success,file,demo,radial,depth,upright
0.22371,-0.08085,1,gen_skillgen_sart.hdf5,demo_0,0.00122,0.03806,1.0000
0.22350,0.10678,1,gen_skillgen_sart.hdf5,demo_1,0.00122,0.03806,1.0000
0.20495,0.00285,1,gen_skillgen_sart.hdf5,demo_10,0.00137,0.03806,1.0000
0.20495,0.00285,1,gen_skillgen_sart.hdf5,demo_11,0.00105,0.03806,1.0000
0.24103,0.00846,1,gen_skillgen_sart.hdf5,demo_12,0.00133,0.03806,1.0000
0.10361,-0.08704,1,gen_skillgen_sart.hdf5,demo_13,0.00096,0.03806,1.0000
0.10361,-0.08704,1,gen_skillgen_sart.hdf5,demo_14,0.00091,0.03806,1.0000
0.10361,-0.08704,1,gen_skillgen_sart.hdf5,demo_15,0.00025,0.03806,1.0000
0.10361,-0.08704,1,gen_skillgen_sart.hdf5,demo_16,0.00139,0.03806,1.0000
0.10361,-0.08704,1,gen_skillgen_sart.hdf5,demo_17,0.00100,0.03806,1.0000
0.10361,-0.08704,1,gen_skillgen_sart.hdf5,demo_18,0.00141,0.03806,1.0000
0.19499,0.06350,1,gen_skillgen_sart.hdf5,demo_19,0.00105,0.03806,1.0000
0.22350,0.10678,1,gen_skillgen_sart.hdf5,demo_2,0.00134,0.03806,1.0000
0.19499,0.06350,1,gen_skillgen_sart.hdf5,demo_20,0.00133,0.03806,1.0000
0.19499,0.06350,1,gen_skillgen_sart.hdf5,demo_21,0.00110,0.03806,1.0000
0.19499,0.06350,1,gen_skillgen_sart.hdf5,demo_22,0.00106,0.03806,1.0000
0.21849,-0.08632,1,gen_skillgen_sart.hdf5,demo_23,0.00107,0.03806,1.0000
0.21849,-0.08632,1,gen_skillgen_sart.hdf5,demo_24,0.00129,0.03806,1.0000
0.21849,-0.08632,1,gen_skillgen_sart.hdf5,demo_25,0.00125,0.03806,1.0000
0.21849,-0.08632,1,gen_skillgen_sart.hdf5,demo_26,0.00075,0.03806,1.0000
0.21849,-0.08632,1,gen_skillgen_sart.hdf5,demo_27,0.00119,0.03806,1.0000
0.19203,-0.11996,1,gen_skillgen_sart.hdf5,demo_28,0.00091,0.03806,1.0000
0.08971,0.01320,1,gen_skillgen_sart.hdf5,demo_29,0.00131,0.03806,1.0000
0.11634,0.01335,1,gen_skillgen_sart.hdf5,demo_3,0.00135,0.03806,1.0000
0.08971,0.01320,1,gen_skillgen_sart.hdf5,demo_30,0.00133,0.03806,1.0000
0.24258,0.10369,1,gen_skillgen_sart.hdf5,demo_31,0.00079,0.03806,1.0000
0.24258,0.10369,1,gen_skillgen_sart.hdf5,demo_32,0.00133,0.03806,1.0000
0.24258,0.10369,1,gen_skillgen_sart.hdf5,demo_33,0.00114,0.03806,1.0000
0.24258,0.10369,1,gen_skillgen_sart.hdf5,demo_34,0.00076,0.03806,1.0000
0.24258,0.10369,1,gen_skillgen_sart.hdf5,demo_35,0.00119,0.03806,1.0000
0.24258,0.10369,1,gen_skillgen_sart.hdf5,demo_36,0.00102,0.03806,1.0000
0.23080,0.11804,1,gen_skillgen_sart.hdf5,demo_37,0.00093,0.03806,1.0000
0.23080,0.11804,1,gen_skillgen_sart.hdf5,demo_38,0.00134,0.03806,1.0000
0.23080,0.11804,1,gen_skillgen_sart.hdf5,demo_39,0.00123,0.03806,1.0000
0.08649,-0.02440,1,gen_skillgen_sart.hdf5,demo_4,0.00095,0.03806,1.0000
0.23080,0.11804,1,gen_skillgen_sart.hdf5,demo_40,0.00139,0.03806,1.0000
0.23080,0.11804,1,gen_skillgen_sart.hdf5,demo_41,0.00103,0.03806,1.0000
0.15902,-0.09446,1,gen_skillgen_sart.hdf5,demo_42,0.00122,0.03806,1.0000
0.15902,-0.09446,1,gen_skillgen_sart.hdf5,demo_43,0.00134,0.03806,1.0000
0.15902,-0.09446,1,gen_skillgen_sart.hdf5,demo_44,0.00117,0.03806,1.0000
0.15902,-0.09446,1,gen_skillgen_sart.hdf5,demo_45,0.00123,0.03806,1.0000
0.25121,0.00039,1,gen_skillgen_sart.hdf5,demo_5,0.00121,0.03806,1.0000
0.11910,0.01123,1,gen_skillgen_sart.hdf5,demo_6,0.00098,0.03806,1.0000
0.11910,0.01123,1,gen_skillgen_sart.hdf5,demo_7,0.00131,0.03806,1.0000
0.24835,0.04778,1,gen_skillgen_sart.hdf5,demo_8,0.00105,0.03806,1.0000
0.24835,0.04778,1,gen_skillgen_sart.hdf5,demo_9,0.00099,0.03806,1.0000
0.22371,-0.08085,0,gen_skillgen_sart_failed.hdf5,demo_0,0.00834,0.00746,0.9583
0.22371,-0.08085,0,gen_skillgen_sart_failed.hdf5,demo_1,0.06757,0.00000,-0.5283
0.22371,-0.08085,0,gen_skillgen_sart_failed.hdf5,demo_10,0.00849,0.00744,0.9914
0.24835,0.04778,0,gen_skillgen_sart_failed.hdf5,demo_100,0.01889,0.00000,0.9993
0.24835,0.04778,0,gen_skillgen_sart_failed.hdf5,demo_101,0.01800,0.00000,0.3301
0.24835,0.04778,0,gen_skillgen_sart_failed.hdf5,demo_102,0.01613,0.00000,0.8383
0.24835,0.04778,0,gen_skillgen_sart_failed.hdf5,demo_103,0.01065,0.01575,0.6828
0.24835,0.04778,0,gen_skillgen_sart_failed.hdf5,demo_104,0.09531,0.00000,-0.0000
0.24835,0.04778,0,gen_skillgen_sart_failed.hdf5,demo_105,0.01486,0.00001,0.9999
